polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + x^4 - 23*x^3 - 8*x^2 + 5*x + 1,(117/2)*x^6 + (51/2)*x^5 + (1461/2)*x^4 + (308)*x^3 + (507/2)*x^2 + (225/2)*x^1 + (45),(117/2) * (x^6 + 17/39*x^5 + 487/39*x^4 + 616/117*x^3 + 13/3*x^2 + 25/13*x + 10/13),117/2,51/2,1461/2,308,507/2,225/2,45,1/2,0,A5,814360369
x^5 + x^4 - 23*x^3 + 3*x^2 + 22*x + 1,(117/2)*x^6 + (-57)*x^5 + (459)*x^4 + (-317)*x^3 + (1515/2)*x^2 + (543/2)*x^1 + (953/2),(117/2) * (x^6 - 38/39*x^5 + 102/13*x^4 - 634/117*x^3 + 505/39*x^2 + 181/39*x + 953/117),117/2,-57,459,-317,1515/2,543/2,953/2,1/2,0,A5,29742106681
x^5 + x^4 - 20*x^3 - 23*x^2 + 5*x + 1,(51)*x^6 + (285/2)*x^5 + (1119/2)*x^4 + (860)*x^3 + (1857/2)*x^2 + (-45/2)*x^1 + (165/2),(51) * (x^6 + 95/34*x^5 + 373/34*x^4 + 860/51*x^3 + 619/34*x^2 - 15/34*x + 55/34),51,285/2,1119/2,860,1857/2,-45/2,165/2,1/2,0,A5,2414837881
x^5 + x^4 - 19*x^3 + 17*x^2 + 10*x + 1,(97/2)*x^6 + (-156)*x^5 + (366)*x^4 + (-741)*x^3 + (1407/2)*x^2 + (795/2)*x^1 + (115/2),(97/2) * (x^6 - 312/97*x^5 + 732/97*x^4 - 1482/97*x^3 + 1407/97*x^2 + 795/97*x + 115/97),97/2,-156,366,-741,1407/2,795/2,115/2,1/2,0,A5,115412049
x^5 + x^4 - 18*x^3 + 22*x^2 + 9*x + 1,(46)*x^6 + (-192)*x^5 + (318)*x^4 + (-880)*x^3 + (954)*x^2 + (432)*x^1 + (26),(46) * (x^6 - 96/23*x^5 + 159/23*x^4 - 440/23*x^3 + 477/23*x^2 + 216/23*x + 13/23),46,-192,318,-880,954,432,26,2,0,A5,75759616
x^5 + x^4 - 16*x^3 - 11*x^2 + 3*x + 1,(41)*x^6 + (117/2)*x^5 + (711/2)*x^4 + (306)*x^3 + (477/2)*x^2 + (141/2)*x^1 + (73/2),(41) * (x^6 + 117/82*x^5 + 711/82*x^4 + 306/41*x^3 + 477/82*x^2 + 141/82*x + 73/82),41,117/2,711/2,306,477/2,141/2,73/2,1/2,0,A5,160757041
x^5 + x^4 - 15*x^3 + 19*x^2 + 3*x + 1,(77/2)*x^6 + (-165)*x^5 + (264)*x^4 + (-616)*x^3 + (594)*x^2 + (198)*x^1 + (-77/2),(77/2) * (x^6 - 30/7*x^5 + 48/7*x^4 - 16*x^3 + 108/7*x^2 + 36/7*x - 1),77/2,-165,264,-616,594,198,-77/2,11/2,0,A5,146410000
x^5 + x^4 - 12*x^3 - 12*x^2 + 17*x + 1,(31)*x^6 + (72)*x^5 + (-21)*x^4 + (144)*x^3 + (507)*x^2 + (-216)*x^1 + (319),(31) * (x^6 + 72/31*x^5 - 21/31*x^4 + 144/31*x^3 + 507/31*x^2 - 216/31*x + 319/31),31,72,-21,144,507,-216,319,1,0,A5,299705344
x^5 + x^4 - 11*x^3 + 25*x^2 - 4*x + 1,(57/2)*x^6 + (-204)*x^5 + (204)*x^4 + (-547)*x^3 + (1713/2)*x^2 + (-135/2)*x^1 + (-93/2),(57/2) * (x^6 - 136/19*x^5 + 136/19*x^4 - 1094/57*x^3 + 571/19*x^2 - 45/19*x - 31/19),57/2,-204,204,-547,1713/2,-135/2,-93/2,1/2,0,A5,565345729
x^5 + x^4 - 8*x^3 + 8*x^2 + x + 1,(21)*x^6 + (-72)*x^5 + (69)*x^4 + (-160)*x^3 + (93)*x^2 + (72)*x^1 + (-19),(21) * (x^6 - 24/7*x^5 + 23/7*x^4 - 160/21*x^3 + 31/7*x^2 + 24/7*x - 19/21),21,-72,69,-160,93,72,-19,1,0,A5,6390784
x^5 + x^4 - 6*x^3 + 10*x^2 + x + 1,(16)*x^6 + (-84)*x^5 + (24)*x^4 + (-152)*x^3 + (144)*x^2 + (60)*x^1 + (-24),(16) * (x^6 - 21/4*x^5 + 3/2*x^4 - 19/2*x^3 + 9*x^2 + 15/4*x - 3/2),16,-84,24,-152,144,60,-24,4,0,A5,18939904
x^5 + x^4 - 6*x^3 + 15*x^2 - x + 1,(16)*x^6 + (-243/2)*x^5 + (93/2)*x^4 + (-198)*x^3 + (627/2)*x^2 + (45/2)*x^1 + (-73/2),(16) * (x^6 - 243/32*x^5 + 93/32*x^4 - 99/8*x^3 + 627/32*x^2 + 45/32*x - 73/32),16,-243/2,93/2,-198,627/2,45/2,-73/2,1/2,0,A5,81090025
x^5 + x^4 - 5*x^3 - 6*x^2 + 13*x + 1,(27/2)*x^6 + (75/2)*x^5 + (-297/2)*x^4 + (-56)*x^3 + (273/2)*x^2 + (-159/2)*x^1 + (184),(27/2) * (x^6 + 25/9*x^5 - 11*x^4 - 112/27*x^3 + 91/9*x^2 - 53/9*x + 368/27),27/2,75/2,-297/2,-56,273/2,-159/2,184,1/2,0,A5,15405625
x^5 + x^4 - 4*x^3 + 8*x^2 + 25*x + 1,(11)*x^6 + (-66)*x^5 + (-363)*x^4 + (-264)*x^3 + (231)*x^2 + (330)*x^1 + (605),(11) * (x^6 - 6*x^5 - 33*x^4 - 24*x^3 + 21*x^2 + 30*x + 55),11,-66,-363,-264,231,330,605,11,0,A5,33732864
x^5 + x^4 - 3*x^3 - 12*x^2 + 21*x + 1,(17/2)*x^6 + (171/2)*x^5 + (-567/2)*x^4 + (-100)*x^3 + (591/2)*x^2 + (-711/2)*x^1 + (471),(17/2) * (x^6 + 171/17*x^5 - 567/17*x^4 - 200/17*x^3 + 591/17*x^2 - 711/17*x + 942/17),17/2,171/2,-567/2,-100,591/2,-711/2,471,1/2,0,A5,624650049
x^5 + x^4 - 2*x^3 + x^2 + x + 1,(6)*x^6 + (-21/2)*x^5 + (-21/2)*x^4 + (-36)*x^3 + (-21/2)*x^2 + (33/2)*x^1 + (-3/2),(6) * (x^6 - 7/4*x^5 - 7/4*x^4 - 6*x^3 - 7/4*x^2 + 11/4*x - 1/4),6,-21/2,-21/2,-36,-21/2,33/2,-3/2,3/2,0,A5,42849
x^5 + x^4 - 2*x^3 + 22*x^2 - 7*x + 1,(6)*x^6 + (-168)*x^5 + (78)*x^4 + (-64)*x^3 + (690)*x^2 + (-216)*x^1 + (-6),(6) * (x^6 - 28*x^5 + 13*x^4 - 32/3*x^3 + 115*x^2 - 36*x - 1),6,-168,78,-64,690,-216,-6,2,0,A5,220463104
x^5 + x^4 - x^3 - 7*x^2 + 17*x + 1,(7/2)*x^6 + (51)*x^5 + (-243)*x^4 + (-130)*x^3 + (84)*x^2 + (-171)*x^1 + (613/2),(7/2) * (x^6 + 102/7*x^5 - 486/7*x^4 - 260/7*x^3 + 24*x^2 - 342/7*x + 613/7),7/2,51,-243,-130,84,-171,613/2,1/2,0,A5,463454784
x^5 + x^4 - x^3 + 5*x^2 + 9*x + 1,(7/2)*x^6 + (-39)*x^5 + (-141)*x^4 + (-98)*x^3 + (36)*x^2 + (75)*x^1 + (137/2),(7/2) * (x^6 - 78/7*x^5 - 282/7*x^4 - 28*x^3 + 72/7*x^2 + 150/7*x + 137/7),7/2,-39,-141,-98,36,75,137/2,1/2,0,A5,462400
x^5 + x^4 - x^3 + 20*x^2 + 9*x + 1,(7/2)*x^6 + (-303/2)*x^5 + (-327/2)*x^4 + (-128)*x^3 + (1197/2)*x^2 + (555/2)*x^1 + (31),(7/2) * (x^6 - 303/7*x^5 - 327/7*x^4 - 256/7*x^3 + 171*x^2 + 555/7*x + 62/7),7/2,-303/2,-327/2,-128,1197/2,555/2,31,1/2,0,A5,198025
x^5 + x^4 - 8*x^2 + 9*x + 1,(1)*x^6 + (60)*x^5 + (-123)*x^4 + (-88)*x^3 + (81)*x^2 + (-108)*x^1 + (101),x^6 + 60*x^5 - 123*x^4 - 88*x^3 + 81*x^2 - 108*x + 101,1,60,-123,-88,81,-108,101,1,0,A5,28558336
x^5 + x^4 + 4*x^2 + 9*x + 1,(1)*x^6 + (-30)*x^5 + (-141)*x^4 + (-88)*x^3 + (9)*x^2 + (54)*x^1 + (71),x^6 - 30*x^5 - 141*x^4 - 88*x^3 + 9*x^2 + 54*x + 71,1,-30,-141,-88,9,54,71,1,0,A5,6310144
x^5 + x^4 + 24*x^2 + 9*x + 1,(1)*x^6 + (-180)*x^5 + (-171)*x^4 + (-88)*x^3 + (849)*x^2 + (324)*x^1 + (21),x^6 - 180*x^5 - 171*x^4 - 88*x^3 + 849*x^2 + 324*x + 21,1,-180,-171,-88,849,324,21,1,0,A5,139428864
x^5 + x^4 + x^3 - 2*x^2 + x + 1,(-3/2)*x^6 + (33/2)*x^5 + (-21/2)*x^4 + (-36)*x^3 + (-21/2)*x^2 + (-21/2)*x^1 + (6),(-3/2) * (x^6 - 11*x^5 + 7*x^4 + 24*x^3 + 7*x^2 + 7*x - 4),-3/2,33/2,-21/2,-36,-21/2,-21/2,6,3/2,0,A5,42849
x^5 + x^4 + 2*x^3 + x^2 + 9*x + 1,(-4)*x^6 + (-9/2)*x^5 + (-261/2)*x^4 + (-84)*x^3 + (-81/2)*x^2 + (-3/2)*x^1 + (157/2),(-4) * (x^6 + 9/8*x^5 + 261/8*x^4 + 21*x^3 + 81/8*x^2 + 3/8*x - 157/8),-4,-9/2,-261/2,-84,-81/2,-3/2,157/2,1/2,0,A5,11826721
x^5 + x^4 + 3*x^3 + 3*x^2 + 5*x + 1,(-13/2)*x^6 + (-18)*x^5 + (-66)*x^4 + (-42)*x^3 + (-24)*x^2 + (0)*x^1 + (35/2),(-13/2) * (x^6 + 36/13*x^5 + 132/13*x^4 + 84/13*x^3 + 48/13*x^2 - 35/13),-13/2,-18,-66,-42,-24,0,35/2,1/2,1,A5,144400
x^5 + x^4 + 3*x^3 + 4*x^2 + 5*x + 1,(-13/2)*x^6 + (-51/2)*x^5 + (-135/2)*x^4 + (-36)*x^3 + (-27/2)*x^2 + (15/2)*x^1 + (15),(-13/2) * (x^6 + 51/13*x^5 + 135/13*x^4 + 72/13*x^3 + 27/13*x^2 - 15/13*x - 30/13),-13/2,-51/2,-135/2,-36,-27/2,15/2,15,1/2,0,A5,126025
x^5 + x^4 + 3*x^3 + 13*x^2 + 6*x + 1,(-13/2)*x^6 + (-93)*x^5 + (-96)*x^4 + (11)*x^3 + (423/2)*x^2 + (189/2)*x^1 + (7/2),(-13/2) * (x^6 + 186/13*x^5 + 192/13*x^4 - 22/13*x^3 - 423/13*x^2 - 189/13*x - 7/13),-13/2,-93,-96,11,423/2,189/2,7/2,1/2,0,A5,4950625
x^5 + x^4 + 4*x^3 + 4*x^2 + 5*x + 1,(-9)*x^6 + (-24)*x^5 + (-57)*x^4 + (-28)*x^3 + (-21)*x^2 + (0)*x^1 + (15),(-9) * (x^6 + 8/3*x^5 + 19/3*x^4 + 28/9*x^3 + 7/3*x^2 - 5/3),-9,-24,-57,-28,-21,0,15,1,1,A5,73984
x^5 + x^4 + 4*x^3 + 5*x^2 - 5*x + 1,(-9)*x^6 + (-63/2)*x^5 + (183/2)*x^4 + (50)*x^3 + (105/2)*x^2 + (-135/2)*x^1 + (25/2),(-9) * (x^6 + 7/2*x^5 - 61/6*x^4 - 50/9*x^3 - 35/6*x^2 + 15/2*x - 25/18),-9,-63/2,183/2,50,105/2,-135/2,25/2,1/2,0,A5,261121
x^5 + x^4 + 5*x^3 - 11*x^2 + 4*x + 1,(-23/2)*x^6 + (90)*x^5 + (-6)*x^4 + (-163)*x^3 + (273/2)*x^2 + (-207/2)*x^1 + (87/2),(-23/2) * (x^6 - 180/23*x^5 + 12/23*x^4 + 326/23*x^3 - 273/23*x^2 + 9*x - 87/23),-23/2,90,-6,-163,273/2,-207/2,87/2,1/2,0,A5,4338889
x^5 + x^4 + 5*x^3 + 11*x^2 + 3*x + 1,(-23/2)*x^6 + (-75)*x^5 + (-24)*x^4 + (64)*x^3 + (144)*x^2 + (12)*x^1 + (-37/2),(-23/2) * (x^6 + 150/23*x^5 + 48/23*x^4 - 128/23*x^3 - 288/23*x^2 - 24/23*x + 37/23),-23/2,-75,-24,64,144,12,-37/2,1/2,0,A5,5740816
x^5 + x^4 + 5*x^3 + 19*x^2 + 22*x + 1,(-23/2)*x^6 + (-135)*x^5 + (-321)*x^4 + (11)*x^3 + (723/2)*x^2 + (1179/2)*x^1 + (873/2),(-23/2) * (x + 1) * (x^5 + 247/23*x^4 + 395/23*x^3 - 417/23*x^2 - 306/23*x - 873/23),-23/2,-135,-321,11,723/2,1179/2,873/2,1/2,0,A5,626951521
x^5 + x^4 + 6*x^3 - 11*x^2 + 13*x + 1,(-14)*x^6 + (183/2)*x^5 + (-249/2)*x^4 + (-248)*x^3 + (99/2)*x^2 + (-519/2)*x^1 + (393/2),(-14) * (x^6 - 183/28*x^5 + 249/28*x^4 + 124/7*x^3 - 99/28*x^2 + 519/28*x - 393/28),-14,183/2,-249/2,-248,99/2,-519/2,393/2,1/2,0,A5,394459321
x^5 + x^4 + 8*x^3 - 8*x^2 + x + 1,(-19)*x^6 + (72)*x^5 + (93)*x^4 + (-160)*x^3 + (69)*x^2 + (-72)*x^1 + (21),(-19) * (x^6 - 72/19*x^5 - 93/19*x^4 + 160/19*x^3 - 69/19*x^2 + 72/19*x - 21/19),-19,72,93,-160,69,-72,21,1,0,A5,6390784
x^5 + x^4 + 8*x^3 - x^2 + 5*x + 1,(-19)*x^6 + (39/2)*x^5 + (45/2)*x^4 + (-76)*x^3 + (-147/2)*x^2 + (-135/2)*x^1 + (55/2),(-19) * (x^6 - 39/38*x^5 - 45/38*x^4 + 4*x^3 + 147/38*x^2 + 135/38*x - 55/38),-19,39/2,45/2,-76,-147/2,-135/2,55/2,1/2,0,A5,9090225
x^5 + x^4 + 8*x^3 + 8*x^2 + 5*x + 1,(-19)*x^6 + (-48)*x^5 + (9)*x^4 + (68)*x^3 + (21)*x^2 + (0)*x^1 + (5),(-19) * (x^6 + 48/19*x^5 - 9/19*x^4 - 68/19*x^3 - 21/19*x^2 - 5/19),-19,-48,9,68,21,0,5,1,1,A5,518400
x^5 + x^4 + 8*x^3 + 12*x^2 + 9*x + 1,(-19)*x^6 + (-78)*x^5 + (-57)*x^4 + (104)*x^3 + (93)*x^2 + (102)*x^1 + (51),(-19) * (x^6 + 78/19*x^5 + 3*x^4 - 104/19*x^3 - 93/19*x^2 - 102/19*x - 51/19),-19,-78,-57,104,93,102,51,1,0,A5,10549504
x^5 + x^4 + 8*x^3 + 22*x^2 - 9*x + 1,(-19)*x^6 + (-153)*x^5 + (198)*x^4 + (390)*x^3 + (819)*x^2 + (-357)*x^1 + (26),(-19) * (x^6 + 153/19*x^5 - 198/19*x^4 - 390/19*x^3 - 819/19*x^2 + 357/19*x - 26/19),-19,-153,198,390,819,-357,26,1,0,A5,152967424
x^5 + x^4 + 9*x^3 + 7*x^2 + 5*x + 1,(-43/2)*x^6 + (-39)*x^5 + (36)*x^4 + (66)*x^3 + (-9)*x^2 + (-15)*x^1 + (15/2),(-43/2) * (x^6 + 78/43*x^5 - 72/43*x^4 - 132/43*x^3 + 18/43*x^2 + 30/43*x - 15/43),-43/2,-39,36,66,-9,-15,15/2,1/2,0,A5,1915456
x^5 + x^4 + 9*x^3 + 9*x^2 + 8*x + 1,(-43/2)*x^6 + (-54)*x^5 + (-12)*x^4 + (81)*x^3 + (-3/2)*x^2 + (81/2)*x^1 + (83/2),(-43/2) * (x^6 + 108/43*x^5 + 24/43*x^4 - 162/43*x^3 + 3/43*x^2 - 81/43*x - 83/43),-43/2,-54,-12,81,-3/2,81/2,83/2,1/2,0,A5,10686361
x^5 + x^4 + 10*x^3 - 6*x^2 + x + 1,(-24)*x^6 + (60)*x^5 + (144)*x^4 + (-152)*x^3 + (24)*x^2 + (-84)*x^1 + (16),(-24) * (x^6 - 5/2*x^5 - 6*x^4 + 19/3*x^3 - x^2 + 7/2*x - 2/3),-24,60,144,-152,24,-84,16,4,0,A5,18939904
x^5 + x^4 + 11*x^3 - 3*x^2 + 5*x + 1,(-53/2)*x^6 + (39)*x^5 + (111)*x^4 + (-126)*x^3 + (-84)*x^2 + (-105)*x^1 + (65/2),(-53/2) * (x^6 - 78/53*x^5 - 222/53*x^4 + 252/53*x^3 + 168/53*x^2 + 210/53*x - 65/53),-53/2,39,111,-126,-84,-105,65/2,1/2,0,A5,56430144
x^5 + x^4 + 11*x^3 + 5*x^2 - 3*x + 1,(-53/2)*x^6 + (-21)*x^5 + (219)*x^4 + (106)*x^3 + (72)*x^2 + (-105)*x^1 + (-7/2),(-53/2) * (x^6 + 42/53*x^5 - 438/53*x^4 - 4*x^3 - 144/53*x^2 + 210/53*x + 7/53),-53/2,-21,219,106,72,-105,-7/2,1/2,0,A5,31449664
x^5 + x^4 + 12*x^3 + 12*x^2 + 5*x + 1,(-29)*x^6 + (-72)*x^5 + (123)*x^4 + (228)*x^3 + (111)*x^2 + (0)*x^1 + (-5),(-29) * (x^6 + 72/29*x^5 - 123/29*x^4 - 228/29*x^3 - 111/29*x^2 + 5/29),-29,-72,123,228,111,0,-5,1,1,A5,1364224
x^5 + x^4 + 13*x^3 + 14*x^2 + 10*x + 1,(-63/2)*x^6 + (-171/2)*x^5 + (165/2)*x^4 + (269)*x^3 + (84)*x^2 + (225/2)*x^1 + (65),(-63/2) * (x^6 + 19/7*x^5 - 55/21*x^4 - 538/63*x^3 - 8/3*x^2 - 25/7*x - 130/63),-63/2,-171/2,165/2,269,84,225/2,65,1/2,0,A5,101404900
x^5 + x^4 + 14*x^3 - 10*x^2 + 9*x + 1,(-34)*x^6 + (96)*x^5 + (174)*x^4 + (-368)*x^3 + (-54)*x^2 + (-240)*x^1 + (106),(-34) * (x^6 - 48/17*x^5 - 87/17*x^4 + 184/17*x^3 + 27/17*x^2 + 120/17*x - 53/17),-34,96,174,-368,-54,-240,106,2,0,A5,792985600
x^5 + x^4 + 19*x^3 - 23*x^2 + 8*x + 1,(-93/2)*x^6 + (201)*x^5 + (456)*x^4 + (-955)*x^3 + (1101/2)*x^2 + (-837/2)*x^1 + (243/2),(-93/2) * (x^6 - 134/31*x^5 - 304/31*x^4 + 1910/93*x^3 - 367/31*x^2 + 9*x - 81/31),-93/2,201,456,-955,1101/2,-837/2,243/2,1/2,0,A5,1626266929
x^5 + x^4 + 19*x^3 + 25*x^2 + 10*x + 1,(-93/2)*x^6 + (-159)*x^5 + (354)*x^4 + (855)*x^3 + (1275/2)*x^2 + (465/2)*x^1 + (75/2),(-93/2) * (x^6 + 106/31*x^5 - 236/31*x^4 - 570/31*x^3 - 425/31*x^2 - 5*x - 25/31),-93/2,-159,354,855,1275/2,465/2,75/2,3/2,0,A5,3606201
x^5 + x^4 + 20*x^3 + 25*x^2 + 9*x + 1,(-49)*x^6 + (-315/2)*x^5 + (855/2)*x^4 + (912)*x^3 + (1305/2)*x^2 + (375/2)*x^1 + (37/2),(-49) * (x^6 + 45/14*x^5 - 855/98*x^4 - 912/49*x^3 - 1305/98*x^2 - 375/98*x - 37/98),-49,-315/2,855/2,912,1305/2,375/2,37/2,1/2,0,A5,223729
x^5 + x^4 + 24*x^3 + 12*x^2 - 7*x + 1,(-59)*x^6 + (-54)*x^5 + (951)*x^4 + (600)*x^3 + (453)*x^2 + (-306)*x^1 + (19),(-59) * (x^6 + 54/59*x^5 - 951/59*x^4 - 600/59*x^3 - 453/59*x^2 + 306/59*x - 19/59),-59,-54,951,600,453,-306,19,1,0,A5,1104365824
x^5 + 2*x^4 - 23*x^3 - 11*x^2 + 4*x + 1,(123/2)*x^6 + (27/2)*x^5 + (1533/2)*x^4 + (425)*x^3 + (579/2)*x^2 + (213/2)*x^1 + (87/2),(123/2) * (x^6 + 9/41*x^5 + 511/41*x^4 + 850/123*x^3 + 193/41*x^2 + 71/41*x + 29/41),123/2,27/2,1533/2,425,579/2,213/2,87/2,1/2,0,A5,894847396
x^5 + 2*x^4 - 17*x^3 - 23*x^2 + 4*x + 1,(93/2)*x^6 + (243/2)*x^5 + (885/2)*x^4 + (701)*x^3 + (1731/2)*x^2 + (-21/2)*x^1 + (147/2),(93/2) * (x^6 + 81/31*x^5 + 295/31*x^4 + 1402/93*x^3 + 577/31*x^2 - 7/31*x + 49/31),93/2,243/2,885/2,701,1731/2,-21/2,147/2,1/2,0,A5,1577042944
x^5 + 2*x^4 - 15*x^3 - 13*x^2 + 2*x + 1,(83/2)*x^6 + (105/2)*x^5 + (693/2)*x^4 + (337)*x^3 + (537/2)*x^2 + (147/2)*x^1 + (73/2),(83/2) * (x^6 + 105/83*x^5 + 693/83*x^4 + 674/83*x^3 + 537/83*x^2 + 147/83*x + 73/83),83/2,105/2,693/2,337,537/2,147/2,73/2,1/2,0,A5,169780900
x^5 + 2*x^4 - 14*x^3 + 25*x^2 - 4*x + 1,(39)*x^6 + (-459/2)*x^5 + (279)*x^4 + (-669)*x^3 + (1647/2)*x^2 + (-45)*x^1 + (-93/2),(39) * (x^6 - 153/26*x^5 + 93/13*x^4 - 223/13*x^3 + 549/26*x^2 - 15/13*x - 31/26),39,-459/2,279,-669,1647/2,-45,-93/2,3/2,0,A5,563255289
x^5 + 2*x^4 - 13*x^3 - 15*x^2 + 2*x + 1,(73/2)*x^6 + (147/2)*x^5 + (537/2)*x^4 + (337)*x^3 + (693/2)*x^2 + (105/2)*x^1 + (83/2),(73/2) * (x^6 + 147/73*x^5 + 537/73*x^4 + 674/73*x^3 + 693/73*x^2 + 105/73*x + 83/73),73/2,147/2,537/2,337,693/2,105/2,83/2,1/2,0,A5,169780900
x^5 + 2*x^4 - 10*x^3 - 13*x^2 + 12*x + 1,(29)*x^6 + (135/2)*x^5 + (9)*x^4 + (67)*x^3 + (807/2)*x^2 + (-159)*x^1 + (353/2),(29) * (x^6 + 135/58*x^5 + 9/29*x^4 + 67/29*x^3 + 807/58*x^2 - 159/29*x + 353/58),29,135/2,9,67,807/2,-159,353/2,1/2,0,A5,219484225
x^5 + 2*x^4 - 7*x^3 + 8*x^2 - 2*x + 1,(43/2)*x^6 + (-81)*x^5 + (159/2)*x^4 + (-109)*x^3 + (45)*x^2 + (57/2)*x^1 + (-16),(43/2) * (x^6 - 162/43*x^5 + 159/43*x^4 - 218/43*x^3 + 90/43*x^2 + 57/43*x - 32/43),43/2,-81,159/2,-109,45,57/2,-16,1/2,0,A5,1656369
x^5 + 2*x^4 - 2*x^3 + 3*x^2 + 16*x + 1,(9)*x^6 + (-57/2)*x^5 + (-243)*x^4 + (-261)*x^3 + (63/2)*x^2 + (87)*x^1 + (497/2),(9) * (x^6 - 19/6*x^5 - 27*x^4 - 29*x^3 + 7/2*x^2 + 29/3*x + 497/18),9,-57/2,-243,-261,63/2,87,497/2,1/2,0,A5,23551609
x^5 + 2*x^4 + 3*x^3 + 8*x^2 + 20*x + 1,(-7/2)*x^6 + (-51)*x^5 + (-621/2)*x^4 + (-257)*x^3 + (-24)*x^2 + (435/2)*x^1 + (380),(-7/2) * (x^6 + 102/7*x^5 + 621/7*x^4 + 514/7*x^3 + 48/7*x^2 - 435/7*x - 760/7),-7/2,-51,-621/2,-257,-24,435/2,380,1/2,0,A5,414163201
x^5 + 2*x^4 + 5*x^3 + 2*x^2 + 1,(-17/2)*x^6 + (0)*x^5 + (63/2)*x^4 + (-5)*x^3 + (-24)*x^2 + (-75/2)*x^1 + (-5),(-17/2) * (x^6 - 63/17*x^4 + 10/17*x^3 + 48/17*x^2 + 75/17*x + 10/17),-17/2,0,63/2,-5,-24,-75/2,-5,1/2,1,A5,162409
x^5 + 2*x^4 + 6*x^3 + 3*x^2 + 1,(-11)*x^6 + (-9/2)*x^5 + (45)*x^4 + (11)*x^3 + (-33/2)*x^2 + (-45)*x^1 + (-15/2),(-11) * (x^6 + 9/22*x^5 - 45/11*x^4 - x^3 + 3/2*x^2 + 45/11*x + 15/22),-11,-9/2,45,11,-33/2,-45,-15/2,1/2,0,A5,426409
x^5 + 2*x^4 + 7*x^3 - 14*x^2 + 8*x + 1,(-27/2)*x^6 + (126)*x^5 + (-9/2)*x^4 + (-333)*x^3 + (180)*x^2 + (-441/2)*x^1 + (99),(-27/2) * (x^6 - 28/3*x^5 + 1/3*x^4 + 74/3*x^3 - 40/3*x^2 + 49/3*x - 22/3),-27/2,126,-9/2,-333,180,-441/2,99,9/2,0,A5,178623225
x^5 + 2*x^4 + 8*x^3 - 5*x^2 + 18*x + 1,(-16)*x^6 + (123/2)*x^5 + (-159)*x^4 + (-357)*x^3 + (-417/2)*x^2 + (-195)*x^1 + (673/2),(-16) * (x^6 - 123/32*x^5 + 159/16*x^4 + 357/16*x^3 + 417/32*x^2 + 195/16*x - 673/32),-16,123/2,-159,-357,-417/2,-195,673/2,1/2,0,A5,1121245225
x^5 + 2*x^4 + 8*x^3 + 3*x^2 - 4*x + 1,(-16)*x^6 + (3/2)*x^5 + (147)*x^4 + (79)*x^3 + (63/2)*x^2 + (-78)*x^1 + (17/2),(-16) * (x^6 - 3/32*x^5 - 147/16*x^4 - 79/16*x^3 - 63/32*x^2 + 39/8*x - 17/32),-16,3/2,147,79,63/2,-78,17/2,1/2,0,A5,3003289
x^5 + 2*x^4 + 9*x^3 + 17*x^2 - 8*x + 1,(-37/2)*x^6 + (-201/2)*x^5 + (381/2)*x^4 + (393)*x^3 + (1023/2)*x^2 + (-543/2)*x^1 + (43/2),(-37/2) * (x^6 + 201/37*x^5 - 381/37*x^4 - 786/37*x^3 - 1023/37*x^2 + 543/37*x - 43/37),-37/2,-201/2,381/2,393,1023/2,-543/2,43/2,1/2,0,A5,55621764
x^5 + 2*x^4 + 17*x^3 + 21*x^2 + 8*x + 1,(-77/2)*x^6 + (-213/2)*x^5 + (501/2)*x^4 + (577)*x^3 + (855/2)*x^2 + (249/2)*x^1 + (23/2),(-77/2) * (x^6 + 213/77*x^5 - 501/77*x^4 - 1154/77*x^3 - 855/77*x^2 - 249/77*x - 23/77),-77/2,-213/2,501/2,577,855/2,249/2,23/2,1/2,0,A5,1144900
x^5 + 3*x^4 - 23*x^3 - 14*x^2 + 3*x + 1,(133/2)*x^6 + (3/2)*x^5 + (1623/2)*x^4 + (556)*x^3 + (705/2)*x^2 + (219/2)*x^1 + (44),(133/2) * (x^6 + 3/133*x^5 + 1623/133*x^4 + 1112/133*x^3 + 705/133*x^2 + 219/133*x + 88/133),133/2,3/2,1623/2,556,705/2,219/2,44,1/2,0,A5,1122719049
x^5 + 3*x^4 - 14*x^3 - 23*x^2 + 3*x + 1,(44)*x^6 + (219/2)*x^5 + (705/2)*x^4 + (556)*x^3 + (1623/2)*x^2 + (3/2)*x^1 + (133/2),(44) * (x^6 + 219/88*x^5 + 705/88*x^4 + 139/11*x^3 + 1623/88*x^2 + 3/88*x + 133/88),44,219/2,705/2,556,1623/2,3/2,133/2,1/2,0,A5,1122719049
x^5 + 3*x^4 - 11*x^3 - 16*x^2 + x + 1,(73/2)*x^6 + (141/2)*x^5 + (477/2)*x^4 + (306)*x^3 + (711/2)*x^2 + (117/2)*x^1 + (41),(73/2) * (x^6 + 141/73*x^5 + 477/73*x^4 + 612/73*x^3 + 711/73*x^2 + 117/73*x + 82/73),73/2,141/2,477/2,306,711/2,117/2,41,1/2,0,A5,160757041
